"","Nível Territorial (Código)","Nível Territorial","Município (Código)","Município","Trimestre (Código)","Trimestre","Variável (Código)","Variável","Cor ou raça (Código)","Cor ou raça","Unidade de Medida (Código)","Unidade de Medida","Valor"
"2","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",39.2
"3","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",38.8
"4","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",39.7
"5","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",39.1
"6","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1
"7","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.1
"8","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.7
"9","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.2
"10","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",35.2
"11","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",33.8
"12","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",35.4
"13","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",35.6
"14","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.6
"15","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",3.2
"16","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2
"17","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8189","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",2.1
"18","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",40.3
"19","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",40.6
"20","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",40.7
"21","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8190","Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",40.1
"22","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1
"23","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.3
"24","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.8
"25","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8191","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.2
"26","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",36
"27","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",35.3
"28","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",36.1
"29","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8192","Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",36.3
"30","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","95251","Total","2","%",1.5
"31","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",3.2
"32","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",2
"33","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8193","Coeficiente de variação - Média de horas efetivamente trabalhadas na semana de referência em todos trabalhos das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",2.1
"34","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",38.4
"35","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",37.4
"36","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",38.9
"37","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8186","Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","1574","Horas",38.5
"38","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","2","%",0.9
"39","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","2","%",2.1
"40","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","2","%",1.6
"41","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8187","Coeficiente de variação - Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade","2779","Parda","2","%",1.3
"42","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","95251","Total","1574","Horas",35.3
"43","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2776","Branca","1574","Horas",34.6
"44","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8188","Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade","2777","Preta","1574","Horas",35.8
